Sales Index,Date,YOY %,,Month,Average
14,5/1/1960,,,Jan,60
13,6/1/1960,,,Feb,54
15,7/1/1960,,,Mar,64
13,8/1/1960,,,Apr,64
13,9/1/1960,,,May,65
15,10/1/1960,,,Jun,64
15,11/1/1960,,,Jul,62
16,12/1/1960,,,Aug,60
14,1/1/1961,,,Sep,63
12,2/1/1961,,,Oct,66
15,3/1/1961,,,Nov,65
15,4/1/1961,0.07,,Dec,72
15,5/1/1961,0.08,,,
14,6/1/1961,0.07,,,
16,7/1/1961,0.08,,,
14,8/1/1961,0.15,,,
15,9/1/1961,0.00,,,
15,10/1/1961,0.07,,,
16,11/1/1961,0.13,,,
18,12/1/1961,0.07,,,
15,1/1/1962,0.08,,,
13,2/1/1962,0.07,,,
16,3/1/1962,0.07,,,
16,4/1/1962,0.13,,,
17,5/1/1962,0.21,,,
17,6/1/1962,0.06,,,
17,7/1/1962,0.07,,,
15,8/1/1962,0.07,,,
16,9/1/1962,0.13,,,
17,10/1/1962,0.13,,,
18,11/1/1962,0.11,,,
20,12/1/1962,0.13,,,
17,1/1/1963,0.08,,,
14,2/1/1963,0.06,,,
17,3/1/1963,0.13,,,
18,4/1/1963,0.12,,,
19,5/1/1963,,,,
17,6/1/1963,,,,
19,7/1/1963,,,,
18,8/1/1963,,,,
17,9/1/1963,,,,
20,10/1/1963,,,,
21,11/1/1963,,,,
22,12/1/1963,,,,
19,1/1/1964,,,,
17,2/1/1964,,,,
19,3/1/1964,,,,
19,4/1/1964,,,,
22,5/1/1964,,,,
19,6/1/1964,,,,
22,7/1/1964,,,,
18,8/1/1964,,,,
20,9/1/1964,,,,
23,10/1/1964,,,,
22,11/1/1964,,,,
25,12/1/1964,,,,
21,1/1/1965,,,,
18,2/1/1965,,,,
21,3/1/1965,,,,
23,4/1/1965,,,,
23,5/1/1965,,,,
21,6/1/1965,,,,
25,7/1/1965,,,,
20,8/1/1965,,,,
23,9/1/1965,,,,
25,10/1/1965,,,,
25,11/1/1965,,,,
30,12/1/1965,,,,
23,1/1/1966,,,,
19,2/1/1966,,,,
23,3/1/1966,,,,
25,4/1/1966,,,,
25,5/1/1966,,,,
24,6/1/1966,,,,
25,7/1/1966,,,,
22,8/1/1966,,,,
24,9/1/1966,,,,
25,10/1/1966,,,,
27,11/1/1966,,,,
29,12/1/1966,,,,
24,1/1/1967,,,,
20,2/1/1967,,,,
25,3/1/1967,,,,
25,4/1/1967,,,,
26,5/1/1967,,,,
26,6/1/1967,,,,
25,7/1/1967,,,,
24,8/1/1967,,,,
26,9/1/1967,,,,
26,10/1/1967,,,,
29,11/1/1967,,,,
31,12/1/1967,,,,
26,1/1/1968,,,,
23,2/1/1968,,,,
27,3/1/1968,,,,
27,4/1/1968,,,,
29,5/1/1968,,,,
26,6/1/1968,,,,
27,7/1/1968,,,,
26,8/1/1968,,,,
26,9/1/1968,,,,
29,10/1/1968,,,,
32,11/1/1968,,,,
34,12/1/1968,,,,
27,1/1/1969,,,,
25,2/1/1969,,,,
30,3/1/1969,,,,
30,4/1/1969,,,,
33,5/1/1969,,,,
29,6/1/1969,,,,
30,7/1/1969,,,,
29,8/1/1969,,,,
30,9/1/1969,,,,
34,10/1/1969,,,,
34,11/1/1969,,,,
37,12/1/1969,,,,
33,1/1/1970,,,,
27,2/1/1970,,,,
32,3/1/1970,,,,
33,4/1/1970,,,,
36,5/1/1970,,,,
33,6/1/1970,,,,
35,7/1/1970,,,,
31,8/1/1970,,,,
33,9/1/1970,,,,
40,10/1/1970,,,,
38,11/1/1970,,,,
44,12/1/1970,,,,
34,1/1/1971,,,,
30,2/1/1971,,,,
36,3/1/1971,,,,
38,4/1/1971,,,,
39,5/1/1971,,,,
37,6/1/1971,,,,
38,7/1/1971,,,,
34,8/1/1971,,,,
38,9/1/1971,,,,
42,10/1/1971,,,,
42,11/1/1971,,,,
46,12/1/1971,,,,
37,1/1/1972,,,,
35,2/1/1972,,,,
43,3/1/1972,,,,
40,4/1/1972,,,,
42,5/1/1972,,,,
43,6/1/1972,,,,
40,7/1/1972,,,,
39,8/1/1972,,,,
43,9/1/1972,,,,
45,10/1/1972,,,,
47,11/1/1972,,,,
51,12/1/1972,,,,
42,1/1/1973,,,,
39,2/1/1973,,,,
46,3/1/1973,,,,
45,4/1/1973,,,,
49,5/1/1973,,,,
49,6/1/1973,,,,
44,7/1/1973,,,,
45,8/1/1973,,,,
46,9/1/1973,,,,
51,10/1/1973,,,,
54,11/1/1973,,,,
58,12/1/1973,,,,
47,1/1/1974,,,,
43,2/1/1974,,,,
51,3/1/1974,,,,
51,4/1/1974,,,,
56,5/1/1974,,,,
52,6/1/1974,,,,
52,7/1/1974,,,,
52,8/1/1974,,,,
52,9/1/1974,,,,
58,10/1/1974,,,,
60,11/1/1974,,,,
61,12/1/1974,,,,
54,1/1/1975,,,,
49,2/1/1975,,,,
57,3/1/1975,,,,
57,4/1/1975,,,,
63,5/1/1975,,,,
57,6/1/1975,,,,
57,7/1/1975,,,,
56,8/1/1975,,,,
60,9/1/1975,,,,
67,10/1/1975,,,,
64,11/1/1975,,,,
74,12/1/1975,,,,
60,1/1/1976,,,,
54,2/1/1976,,,,
62,3/1/1976,,,,
67,4/1/1976,,,,
67,5/1/1976,,,,
66,6/1/1976,,,,
64,7/1/1976,,,,
61,8/1/1976,,,,
71,9/1/1976,,,,
69,10/1/1976,,,,
70,11/1/1976,,,,
80,12/1/1976,,,,
67,1/1/1977,,,,
59,2/1/1977,,,,
71,3/1/1977,,,,
73,4/1/1977,,,,
72,5/1/1977,,,,
78,6/1/1977,,,,
72,7/1/1977,,,,
69,8/1/1977,,,,
74,9/1/1977,,,,
76,10/1/1977,,,,
77,11/1/1977,,,,
81,12/1/1977,,,,
76,1/1/1978,,,,
65,2/1/1978,,,,
82,3/1/1978,,,,
77,4/1/1978,,,,
80,5/1/1978,,,,
81,6/1/1978,,,,
72,7/1/1978,,,,
74,8/1/1978,,,,
80,9/1/1978,,,,
80,10/1/1978,,,,
82,11/1/1978,,,,
81,12/1/1978,,,,
76,1/1/1979,,,,
67,2/1/1979,,,,
87,3/1/1979,,,,
80,4/1/1979,,,,
85,5/1/1979,,,,
83,6/1/1979,,,,
73,7/1/1979,,,,
77,8/1/1979,,,,
76,9/1/1979,,,,
85,10/1/1979,,,,
86,11/1/1979,,,,
83,12/1/1979,,,,
86,1/1/1980,,,,
73,2/1/1980,,,,
82,3/1/1980,,,,
82,4/1/1980,,,,
88,5/1/1980,,,,
80,6/1/1980,,,,
77,7/1/1980,,,,
77,8/1/1980,,,,
78,9/1/1980,,,,
87,10/1/1980,,,,
82,11/1/1980,,,,
84,12/1/1980,,,,
86,1/1/1981,,,,
72,2/1/1981,,,,
81,3/1/1981,,,,
85,4/1/1981,,,,
86,5/1/1981,,,,
82,6/1/1981,,,,
82,7/1/1981,,,,
73,8/1/1981,,,,
78,9/1/1981,,,,
89,10/1/1981,,,,
78,11/1/1981,,,,
86,12/1/1981,,,,
82,1/1/1982,,,,
73,2/1/1982,,,,
83,3/1/1982,,,,
86,4/1/1982,,,,
85,5/1/1982,,,,
84,6/1/1982,,,,
82,7/1/1982,,,,
75,8/1/1982,,,,
82,9/1/1982,,,,
89,10/1/1982,,,,
86,11/1/1982,,,,
98,12/1/1982,,,,
77,1/1/1983,,,,
72,2/1/1983,,,,
83,3/1/1983,,,,
83,4/1/1983,,,,
83,5/1/1983,,,,
85,6/1/1983,,,,
82,7/1/1983,,,,
78,8/1/1983,,,,
86,9/1/1983,,,,
85,10/1/1983,,,,
86,11/1/1983,,,,
98,12/1/1983,,,,
77,1/1/1984,,,,
73,2/1/1984,,,,
83,3/1/1984,,,,
81,4/1/1984,,,,
84,5/1/1984,,,,
87,6/1/1984,,,,
79,7/1/1984,,,,
81,8/1/1984,,,,
83,9/1/1984,,,,
87,10/1/1984,,,,
89,11/1/1984,,,,
95,12/1/1984,,,,
78,1/1/1985,,,,
71,2/1/1985,,,,
83,3/1/1985,,,,
84,4/1/1985,,,,
89,5/1/1985,,,,
84,6/1/1985,,,,
82,7/1/1985,,,,
86,8/1/1985,,,,
81,9/1/1985,,,,
91,10/1/1985,,,,
92,11/1/1985,,,,
95,12/1/1985,,,,
82,1/1/1986,,,,
72,2/1/1986,,,,
83,3/1/1986,,,,
84,4/1/1986,,,,
93,5/1/1986,,,,
83,6/1/1986,,,,
84,7/1/1986,,,,
85,8/1/1986,,,,
87,9/1/1986,,,,
92,10/1/1986,,,,
88,11/1/1986,,,,
100,12/1/1986,,,,
86,1/1/1987,,,,
75,2/1/1987,,,,
82,3/1/1987,,,,
91,4/1/1987,,,,
92,5/1/1987,,,,
88,6/1/1987,,,,
90,7/1/1987,,,,
84,8/1/1987,,,,
87,9/1/1987,,,,
98,10/1/1987,,,,
88,11/1/1987,,,,
105,12/1/1987,,,,
81,1/1/1988,,,,
76,2/1/1988,,,,
88,3/1/1988,,,,
92,4/1/1988,,,,
88,5/1/1988,,,,
90,6/1/1988,,,,
89,7/1/1988,,,,
85,8/1/1988,,,,
91,9/1/1988,,,,
93,10/1/1988,,,,
93,11/1/1988,,,,
109,12/1/1988,,,,
82,1/1/1989,,,,
78,2/1/1989,,,,
94,3/1/1989,,,,
91,4/1/1989,,,,
96,5/1/1989,,,,
98,6/1/1989,,,,
91,7/1/1989,,,,
91,8/1/1989,,,,
97,9/1/1989,,,,
97,10/1/1989,,,,
100,11/1/1989,,,,
112,12/1/1989,,,,
88,1/1/1990,,,,
83,2/1/1990,,,,
101,3/1/1990,,,,
97,4/1/1990,,,,
103,5/1/1990,,,,
103,6/1/1990,,,,
95,7/1/1990,,,,
98,8/1/1990,,,,
102,9/1/1990,,,,
104,10/1/1990,,,,
107,11/1/1990,,,,
119,12/1/1990,,,,
96,1/1/1991,,,,
87,2/1/1991,,,,
105,3/1/1991,,,,
101,4/1/1991,,,,
108,5/1/1991,,,,
106,6/1/1991,,,,
103,7/1/1991,,,,
104,8/1/1991,,,,
100,9/1/1991,,,,
112,10/1/1991,,,,
111,11/1/1991,,,,
119,12/1/1991,,,,
101,1/1/1992,,,,
95,2/1/1992,,,,
100,3/1/1992,,,,
107,4/1/1992,,,,
112,5/1/1992,,,,
106,6/1/1992,,,,
109,7/1/1992,,,,
101,8/1/1992,,,,
107,9/1/1992,,,,
116,10/1/1992,,,,
105,11/1/1992,,,,
128,12/1/1992,,,,
98,1/1/1993,,,,
90,2/1/1993,,,,
106,3/1/1993,,,,
110,4/1/1993,,,,
111,5/1/1993,,,,
112,6/1/1993,,,,
114,7/1/1993,,,,
102,8/1/1993,,,,
111,9/1/1993,,,,
113,10/1/1993,,,,
109,11/1/1993,,,,
129,12/1/1993,,,,
97,1/1/1994,,,,
92,2/1/1994,,,,
110,3/1/1994,,,,
110,4/1/1994,,,,
109,5/1/1994,,,,
114,6/1/1994,,,,
109,7/1/1994,,,,
104,8/1/1994,,,,
114,9/1/1994,,,,
111,10/1/1994,,,,
111,11/1/1994,,,,
131,12/1/1994,,,,
98,1/1/1995,,,,
93,2/1/1995,,,,
111,3/1/1995,,,,
107,4/1/1995,,,,
114,5/1/1995,,,,
116,6/1/1995,,,,
107,7/1/1995,,,,
106,8/1/1995,,,,
115,9/1/1995,,,,
